loja;caiu;voltou;tempo
"CENTRAL AGUIAR";"02/04/2024 14:13:53";"02/04/2024 14:14:23";1
"CENTRAL AGUIAR";"02/04/2024 14:17:53";"02/04/2024 14:18:23";1
"CENTRAL AGUIAR";"02/04/2024 14:22:54";"02/04/2024 14:23:24";1
"CENTRAL AGUIAR";"02/04/2024 14:24:23";"02/04/2024 14:24:53";0
"CENTRAL AGUIAR";"02/04/2024 14:26:53";"02/04/2024 14:27:23";1
"CENTRAL AGUIAR";"02/04/2024 14:30:53";"02/04/2024 14:31:23";1
"CENTRAL AGUIAR";"02/04/2024 14:32:54";"02/04/2024 14:33:24";1
"CENTRAL AGUIAR";"02/04/2024 14:34:53";"02/04/2024 14:35:23";1
"CENTRAL AGUIAR";"02/04/2024 14:38:54";"02/04/2024 14:39:26";1
"CENTRAL AGUIAR";"02/04/2024 14:40:24";"02/04/2024 14:40:54";0
"CENTRAL AGUIAR";"02/04/2024 14:42:54";"02/04/2024 14:43:24";1
"CENTRAL AGUIAR";"02/04/2024 14:44:23";"02/04/2024 14:44:53";0
"CENTRAL AGUIAR";"02/04/2024 14:46:54";"02/04/2024 14:47:24";1
"CENTRAL AGUIAR";"02/04/2024 14:50:54";"02/04/2024 14:51:24";1
"CENTRAL AGUIAR";"02/04/2024 14:53:53";"02/04/2024 14:54:23";1
"CENTRAL AGUIAR";"02/04/2024 14:54:54";"02/04/2024 14:55:27";1
"CENTRAL AGUIAR";"02/04/2024 14:56:24";"02/04/2024 14:56:54";0
"CENTRAL AGUIAR";"02/04/2024 14:58:54";"02/04/2024 14:59:24";1
"CENTRAL AGUIAR";"02/04/2024 15:02:54";"02/04/2024 15:03:24";1
"CENTRAL AGUIAR";"02/04/2024 15:06:54";"02/04/2024 15:07:24";1
"CENTRAL AGUIAR";"02/04/2024 15:10:54";"02/04/2024 15:11:24";1
"CENTRAL AGUIAR";"02/04/2024 15:14:54";"02/04/2024 15:15:24";1
"CENTRAL AGUIAR";"02/04/2024 15:18:54";"02/04/2024 15:19:24";1
